GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2000,4435.76,11797.35,15788.93,-11778.62,-110961.46,5433.13,69077.66,-19954.13,508.16,-16207.25,-19445.97,-35653.21
2010,4504.57,11884.59,15772.75,-11702.98,-111155.5,5437.65,69221.06,-19888.43,505.98,-16037.87,-19382.45,-35420.32
2020,4459.36,11931.03,15774.39,-11792.18,-110795.27,5369.03,69058.02,-20066.26,507.15,-15995.62,-19559.1,-35554.72
2030,4500.95,12075.45,15783.96,-11760.2,-110890.27,5338.67,69098.46,-20151.37,505.98,-15852.99,-19645.38,-35498.37
2040,4610.03,11800.11,15838.46,-11710.47,-111018.04,5394.88,69123.92,-20033.79,505.3,-15961.12,-19528.49,-35489.6
2050,4504.54,11755.01,15812.32,-11734.83,-111349.93,5431.13,69251.23,-19852.61,507.69,-16330.53,-19344.92,-35675.45
2060,4558.16,11794.43,15746.31,-11723.7,-111019.08,5391.97,69082.98,-19992.07,509.65,-16168.93,-19482.43,-35651.36
2070,4552.97,11911.0,15779.04,-11777.87,-110874.88,5377.63,69087.96,-20113.29,508.12,-15944.15,-19605.17,-35549.32
2080,4547.5,11864.64,15855.71,-11739.04,-111108.91,5441.16,69180.4,-19986.66,511.98,-15958.54,-19474.68,-35433.22
2090,4434.49,11908.94,15812.79,-12309.35,-112142.44,5387.83,69095.35,-18656.57,416.02,-17812.39,-18240.55,-36052.94
2100,4579.81,11903.0,15766.6,-12398.97,-112076.37,5463.17,69153.73,-18621.35,417.43,-17609.03,-18203.92,-35812.95
2110,4472.25,11898.84,15840.04,-12380.33,-111818.49,5422.36,69065.17,-18854.45,423.14,-17500.16,-18431.32,-35931.47
2120,4520.84,11909.68,15720.47,-12358.6,-111932.17,5397.26,69000.85,-18737.61,417.45,-17741.66,-18320.16,-36061.82
2130,4493.64,11821.44,15844.91,-12368.21,-112085.46,5423.58,69341.98,-18803.44,421.01,-17528.11,-18382.44,-35910.55
2140,4540.07,11937.09,15807.64,-12380.59,-112093.35,5445.41,69157.28,-18664.33,418.72,-17586.46,-18245.61,-35832.06
2150,4419.13,11825.66,15767.07,-12401.49,-112107.26,5374.51,69161.15,-18644.33,413.71,-17961.22,-18230.62,-36191.84
2160,4585.37,11853.69,15850.31,-12361.88,-112275.33,5390.35,69131.78,-18557.44,416.26,-17825.71,-18141.18,-35966.9
2170,4619.02,11850.48,15887.07,-12436.4,-112117.89,5346.37,68939.06,-18507.41,410.6,-17912.28,-18096.81,-36009.08
2180,4559.53,11928.77,15800.45,-12531.75,-111693.31,5354.4,69007.7,-18830.3,412.69,-17574.21,-18417.61,-35991.82
2190,4530.12,11983.62,15870.7,-12459.25,-111945.05,5384.91,69077.88,-18830.3,419.7,-17557.08,-18410.6,-35967.68
2200,4447.04,11894.56,15744.18,-12444.79,-111952.65,5443.75,69032.43,-18744.14,415.49,-17835.49,-18328.65,-36164.14
2210,4586.19,11893.11,15813.55,-12450.95,-112114.29,5363.18,69006.46,-18441.36,416.22,-17902.77,-18025.14,-35927.91
2220,4530.27,11858.47,15767.34,-12439.81,-112246.09,5384.97,69109.35,-18380.85,414.35,-18035.49,-17966.5,-36002.0
2230,4487.67,11803.78,15793.9,-12408.02,-112034.71,5425.63,68932.77,-18577.59,418.26,-17998.97,-18159.33,-36158.3
2240,4448.02,11893.79,15800.88,-12414.17,-111908.64,5338.48,68946.5,-18640.39,417.45,-17895.15,-18222.94,-36118.09
2250,4580.91,11877.76,15705.77,-12461.88,-112272.4,5414.12,69136.19,-18418.36,406.46,-18019.53,-18011.9,-36031.43
2260,4579.93,11839.57,15812.5,-12409.27,-112147.67,5390.55,69028.47,-18522.38,418.51,-17905.91,-18103.86,-36009.77
2270,4529.1,11861.51,15766.52,-12341.12,-112140.68,5380.9,69138.62,-18612.43,416.52,-17805.16,-18195.91,-36001.07
2280,4552.77,11831.64,15775.24,-12386.99,-111987.61,5410.23,69025.74,-18619.96,416.84,-17778.99,-18203.13,-35982.12
2290,4498.24,11821.53,15706.93,-12439.03,-112076.0,5425.82,69097.51,-18579.62,417.28,-17964.99,-18162.34,-36127.33
2300,4528.58,11866.98,15710.68,-12325.4,-112011.17,5372.27,68951.98,-18578.56,418.21,-17906.08,-18160.35,-36066.43
2310,4530.43,11717.07,15823.25,-12446.71,-111964.9,5377.46,69003.44,-18610.26,418.73,-17959.96,-18191.53,-36151.49
2320,4653.87,11837.81,15792.4,-12378.09,-112002.48,5330.24,68944.26,-18531.06,420.16,-17821.99,-18110.9,-35932.88
2330,4515.25,11861.58,15771.64,-12351.17,-112280.49,5388.03,69070.7,-18457.44,417.5,-18024.46,-18039.94,-36064.4
2340,4567.0,11841.39,15816.54,-12253.64,-112104.91,5395.81,69052.93,-18685.74,425.25,-17684.88,-18260.49,-35945.37
2350,4606.64,11961.65,15867.95,-12258.63,-112226.65,5417.11,68934.86,-18434.26,423.45,-17697.06,-18010.82,-35707.88
2360,4548.3,11996.58,15817.88,-12372.22,-112181.87,5380.04,69033.62,-18503.53,418.69,-17777.66,-18084.85,-35862.51
2370,4427.43,11787.38,15735.41,-12397.27,-111845.64,5392.38,69092.82,-18704.92,419.4,-17807.48,-18285.52,-36093.0
2380,4486.29,11811.64,15714.37,-12374.58,-111903.56,5395.16,69041.83,-18719.45,418.84,-17828.84,-18300.61,-36129.46
2390,4610.09,11908.86,15766.77,-12398.75,-111875.72,5368.02,68889.91,-18646.55,414.08,-17730.82,-18232.47,-35963.29
2400,4600.06,12026.21,15835.6,-12433.82,-112031.39,5404.33,68969.24,-18601.0,416.66,-17629.77,-18184.34,-35814.11
2410,4519.77,11800.84,15726.91,-12360.26,-112219.31,5364.52,69064.83,-18483.97,416.03,-18102.71,-18067.94,-36170.65
2420,4437.77,11897.55,15733.64,-12505.55,-112080.84,5393.16,69181.86,-18618.74,412.19,-17942.4,-18206.54,-36148.94
2430,4488.68,11834.52,15764.2,-12344.65,-112029.25,5380.99,68906.78,-18572.81,417.27,-17998.73,-18155.54,-36154.26
