GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2000,9970.09,25073.91,36215.28,-26884.09,-238235.6,12225.47,138026.33,-32454.66,1040.2,-43608.6,-31414.47,-75023.07
2010,10025.77,24907.92,36034.41,-27092.94,-238120.15,12203.33,138137.07,-32422.94,1036.22,-43904.58,-31386.72,-75291.31
2020,10024.71,24942.52,36107.8,-26865.93,-238420.49,12240.52,138186.87,-32330.7,1036.71,-43784.0,-31293.99,-75078.0
2030,10044.4,25332.28,36104.99,-26944.19,-238272.09,12217.0,138146.23,-32418.87,1043.12,-43371.38,-31375.75,-74747.14
2040,10016.06,25137.79,36131.16,-27108.72,-238084.26,12226.1,138067.09,-32519.78,1034.57,-43614.78,-31485.21,-75099.99
2050,10066.05,24814.54,36131.15,-27053.8,-238064.0,12212.88,138150.33,-32621.07,1039.21,-43742.86,-31581.86,-75324.72
2060,10068.16,24956.88,35944.68,-27050.72,-237854.33,12302.08,137957.9,-32586.11,1036.11,-43675.36,-31550.0,-75225.36
2070,9988.32,25234.79,36049.59,-27078.42,-237766.75,12095.45,137935.14,-32691.83,1037.42,-43541.87,-31654.41,-75196.28
2080,10035.38,24897.02,36147.63,-27105.49,-237782.88,12252.59,138074.9,-32700.36,1033.53,-43480.86,-31666.83,-75147.69
2090,9979.52,25124.51,36107.38,-27052.31,-237923.65,12176.46,138033.84,-32606.3,1032.14,-43554.26,-31574.16,-75128.42
2100,10042.81,25058.55,35968.22,-27115.52,-237968.22,12253.48,138065.14,-32616.31,1037.11,-43695.54,-31579.21,-75274.75
2110,10057.47,24967.56,36167.67,-27029.04,-238247.62,12213.1,138156.76,-32447.01,1044.82,-43714.1,-31402.19,-75116.29
2120,9975.05,25312.66,36068.97,-26935.35,-238694.13,12274.34,138249.36,-32313.04,1050.63,-43749.08,-31262.41,-75011.49
2130,9958.33,25044.6,36066.36,-27010.96,-238322.26,12249.08,138236.62,-32418.98,1041.71,-43778.24,-31377.27,-75155.5
2140,10070.57,25091.82,36041.63,-26982.58,-238350.49,12268.57,138084.48,-32349.34,1031.82,-43776.0,-31317.52,-75093.52
2150,9958.36,25224.92,36150.73,-27048.62,-238003.21,12206.52,137928.88,-32513.14,1035.03,-43582.42,-31478.12,-75060.53
2160,10053.81,25014.69,36048.4,-27071.82,-238335.04,12102.98,138022.58,-32211.09,1028.57,-44164.39,-31182.52,-75346.91
2170,9991.0,25231.1,36190.9,-27045.78,-238301.0,12295.61,138135.7,-32417.7,1033.68,-43502.48,-31384.02,-74886.5
2180,10014.87,24889.27,36018.71,-26963.81,-238595.83,12219.55,138087.89,-32291.98,1044.02,-44329.34,-31247.96,-75577.3
2190,9999.24,25143.02,36081.11,-27157.67,-238705.71,12278.35,138233.7,-32042.26,1030.86,-44127.96,-31011.39,-75139.35
2200,10038.05,25106.15,36118.17,-27005.23,-238801.78,12204.35,138139.31,-32136.74,1029.78,-44200.99,-31106.96,-75307.95
2210,9865.35,25126.16,36134.32,-27098.76,-238654.53,12242.09,138186.88,-32033.07,1034.56,-44198.5,-30998.5,-75197.0
2220,9942.28,25000.52,36139.61,-27062.62,-238787.68,12270.58,138164.92,-31900.13,1022.45,-44332.4,-30877.68,-75210.08
2230,9942.76,25214.22,36025.61,-27023.65,-238956.81,12214.85,138183.13,-31952.2,1030.68,-44399.88,-30921.52,-75321.41
2240,9900.71,25105.04,36055.09,-27168.05,-238802.17,12233.04,138342.44,-32070.02,1029.56,-44333.89,-31040.45,-75374.35
2250,9990.84,25216.23,35932.46,-27186.33,-238675.33,12231.89,138316.92,-32034.85,1029.95,-44173.31,-31004.9,-75178.21
2260,9907.67,24870.99,35966.84,-27107.13,-238552.98,12254.97,138430.22,-32387.13,1034.6,-44229.42,-31352.53,-75581.96
2270,9967.0,24827.9,36087.46,-27067.82,-238730.52,12231.76,138204.65,-32065.19,1030.12,-44479.56,-31035.07,-75514.64
2280,10004.67,25245.39,36007.4,-26965.29,-238960.74,12233.51,138212.97,-32063.65,1039.12,-44222.08,-31024.53,-75246.62
2290,9930.84,25166.95,36232.14,-27101.66,-238635.64,12179.72,138203.63,-32205.07,1032.81,-44024.02,-31172.26,-75196.27
2300,10021.8,24999.83,36128.54,-27062.54,-238884.81,12248.69,138343.95,-32001.93,1032.71,-44204.53,-30969.22,-75173.75
2310,10056.79,24706.41,36187.41,-27036.75,-239226.97,12323.1,138862.35,-32176.95,1035.63,-44127.67,-31141.32,-75268.99
2320,10045.91,25127.85,36120.49,-27186.71,-238873.68,12182.28,138331.64,-31989.69,1029.28,-44252.23,-30960.41,-75212.64
2330,9943.8,25206.18,36112.04,-27000.42,-238705.19,12288.48,138283.56,-32116.99,1031.11,-43871.55,-31085.88,-74957.43
