GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2000,10126.45,24921.18,36024.75,-27028.87,-238129.76,12166.83,138442.62,-32839.9,1050.05,-43476.81,-31789.85,-75266.66
2010,9877.07,25192.29,35978.25,-26970.68,-238116.59,12243.85,138297.92,-32832.39,1052.36,-43497.89,-31780.04,-75277.93
2020,10072.75,25048.0,36013.59,-27057.55,-238297.2,12185.65,138347.51,-32630.3,1056.26,-43687.26,-31574.04,-75261.3
2030,10090.62,25013.66,36205.57,-26899.09,-238503.62,12242.72,138467.4,-32690.12,1061.31,-43382.74,-31628.81,-75011.55
2040,9950.42,25089.08,36088.72,-26976.08,-238189.63,12209.8,138298.57,-32794.71,1056.6,-43529.11,-31738.11,-75267.23
2050,9891.53,25115.41,36143.18,-26984.55,-238271.29,12213.68,138416.83,-32798.79,1055.41,-43475.21,-31743.39,-75218.59
2060,9905.75,25017.99,36167.65,-26989.43,-238459.91,12292.94,138506.26,-32665.97,1051.16,-43558.74,-31614.81,-75173.55
2070,9841.91,25107.7,36234.38,-27106.31,-238330.18,12310.41,138524.78,-32661.87,1045.17,-43417.32,-31616.7,-75034.01
2080,10040.28,25148.15,36131.1,-26992.27,-238519.84,12343.35,138428.68,-32546.46,1047.03,-43420.55,-31499.43,-74919.98
2090,9863.56,25193.04,36007.82,-27058.26,-238084.81,12195.1,138184.33,-32598.39,1048.23,-43699.21,-31550.16,-75249.38
2100,9912.08,25217.91,35969.66,-27020.84,-238202.15,12235.2,138251.45,-32622.07,1049.05,-43636.7,-31573.02,-75209.72
2110,10084.22,25185.92,36249.65,-27069.18,-238280.79,12241.93,138251.05,-32524.62,1045.81,-43337.19,-31478.8,-74816.0
2120,10025.74,25136.76,36044.03,-27035.42,-238372.49,12260.03,138340.63,-32590.61,1049.93,-43600.72,-31540.68,-75141.4
2130,9862.63,25226.37,36155.5,-27015.71,-238323.93,12271.21,138318.87,-32652.81,1041.74,-43505.06,-31611.07,-75116.13
2140,9951.31,25148.77,36077.69,-27048.14,-238020.76,12229.8,138316.04,-32868.63,1043.68,-43345.29,-31824.95,-75170.25
2150,9916.09,25022.02,36039.71,-26950.55,-238411.93,12258.69,138391.19,-32697.31,1044.08,-43734.77,-31653.23,-75388.0
2160,9855.34,25012.68,36083.59,-27029.43,-238333.99,12283.02,138466.22,-32771.33,1044.26,-43662.57,-31727.07,-75389.63
2170,9877.94,25245.09,36087.22,-27069.06,-238648.22,12275.73,138455.42,-32466.31,1039.39,-43775.89,-31426.93,-75202.82
2180,10130.01,25050.11,36095.53,-26943.58,-238667.03,12207.75,138422.41,-32428.44,1056.39,-43704.8,-31372.05,-75076.85
2190,9996.69,25227.36,36196.12,-26995.8,-238536.11,12344.51,138580.64,-32723.6,1055.72,-43186.58,-31667.88,-74854.46
2200,10008.82,25112.88,36096.34,-27063.95,-238564.38,12218.22,138283.84,-32512.21,1044.34,-43908.23,-31467.87,-75376.1
2210,10069.67,25299.12,36117.57,-26972.08,-238444.36,12237.38,138329.56,-32601.35,1041.56,-43363.13,-31559.79,-74922.92
2220,10191.26,25001.44,36210.09,-27020.44,-238703.73,12340.22,138421.14,-32524.48,1045.67,-43560.02,-31478.81,-75038.83
